radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.720593,0.175,-2.91514,0.193,NA,NA,0,NA,NA,0,NA,NA,0,18.012,0.198,1,17.878,0.361,1,NA,NA,0,NA,NA,0,NA,NA,0
198.722369,0.437,-3.038191,0.469,16.331,0.078,6,16.996,0.068,6,NA,NA,0,16.665,0.05,6,16.256,0.069,6,15.868,0.087,4,NA,NA,0,NA,NA,0
198.723316,0.399,-3.342233,0.333,16.151,0.085,6,17.157,0.116,6,NA,NA,0,16.593,0.016,6,15.762,0.101,6,15.499,0.101,6,NA,NA,0,NA,NA,0
198.723784,0.358,-2.624268,0.327,13.948,0.032,6,15.066,0.027,6,NA,NA,0,14.491,0.016,6,13.5,0.013,6,13.083,0.048,6,13.011,0.153,5,NA,NA,0
198.725009,0.465,-2.631595,0.354,14.942,0.059,6,15.529,0.021,6,NA,NA,0,15.177,0.019,6,14.776,0.032,6,14.574,0.101,6,NA,NA,0,NA,NA,0
198.726159,0.371,-2.850459,0.274,13.169,0.022,6,14.181,0.022,6,NA,NA,0,13.641,0.018,6,12.887,0.046,6,12.615,0.047,6,12.501,0.094,5,NA,NA,0
198.727135,0.619,-2.983617,0.388,16.3,0.141,6,16.983,0.13,6,NA,NA,0,16.658,0.076,6,16.137,0.063,6,15.857,0.075,4,NA,NA,0,NA,NA,0
198.730278,0.236,-2.959289,0.211,15.186,0.025,6,16.402,0.049,6,NA,NA,0,15.76,0.036,6,14.686,0.054,6,14.259,0.022,6,NA,NA,0,NA,NA,0
198.731032,0.734,-3.207235,0.196,NA,NA,0,NA,NA,0,NA,NA,0,17.92,0.139,1,17.335,0.194,1,NA,NA,0,NA,NA,0,NA,NA,0
198.733035,0.156,-2.598459,0.181,12.338,0.028,6,12.912,0.016,6,NA,NA,0,12.558,0.017,6,12.211,0.014,6,12.087,0.053,6,12.012,0.079,5,NA,NA,0
198.733043,0.293,-2.827077,0.25,15.606,0.038,6,16.944,0.066,6,NA,NA,0,16.28,0.049,6,14.995,0.048,6,14.48,0.058,6,NA,NA,0,NA,NA,0
198.736425,0.525,-3.389678,0.279,15.713,0.051,6,16.686,0.067,6,NA,NA,0,16.162,0.034,6,15.454,0.077,6,15.249,0.134,6,NA,NA,0,NA,NA,0
198.737024,0.342,-3.235863,0.296,16.709,0.166,3,17.617,0.178,3,NA,NA,0,17.202,0.102,4,16.585,0.054,4,17.011,0.525,1,NA,NA,0,NA,NA,0
198.738566,0.157,-3.297746,0.391,NA,NA,0,NA,NA,0,NA,NA,0,18.187,0.176,1,17.452,0.202,1,NA,NA,0,NA,NA,0,NA,NA,0
198.741237,0.12,-3.103992,0.417,17.303,0.179,1,17.95,0.227,1,NA,NA,0,17.731,0.246,2,17.248,0.138,2,NA,NA,0,NA,NA,0,NA,NA,0
198.745143,0.359,-2.654874,0.212,15.751,0.07,6,16.384,0.051,6,NA,NA,0,16.03,0.079,6,15.596,0.072,6,15.426,0.079,5,NA,NA,0,NA,NA,0
198.747235,0.393,-2.926398,0.085,NA,NA,0,NA,NA,0,NA,NA,0,18.147,0.187,1,17.553,0.26,1,NA,NA,0,NA,NA,0,NA,NA,0
198.749407,0.85,-3.04254,0.45,16.773,0.198,3,17.421,0.092,3,NA,NA,0,17.225,0.103,4,16.753,0.114,4,NA,NA,0,NA,NA,0,NA,NA,0
